epoch,accuracy,loss,val_accuracy,val_loss
0,0.4518522024154663,1.032084584236145,0.5465573668479919,0.8872332572937012
1,0.6154707670211792,0.8077062964439392,0.7009835839271545,0.7452817559242249
2,0.7028086185455322,0.6686425805091858,0.7537704706192017,0.5380259156227112
3,0.7491835355758667,0.5701455473899841,0.8062295317649841,0.49811434745788574
4,0.7825884222984314,0.5000381469726562,0.8367213010787964,0.3916320204734802
5,0.8102080821990967,0.43257951736450195,0.8675409555435181,0.3298948109149933
6,0.8227115869522095,0.4041144549846649,0.8393442630767822,0.3824775516986847
7,0.8463655710220337,0.3512416481971741,0.8963934183120728,0.25393807888031006
8,0.8658206462860107,0.316215842962265,0.8862295150756836,0.2712022066116333
9,0.8764579892158508,0.29497966170310974,0.8947541117668152,0.26385733485221863
