epoch,accuracy,loss,val_accuracy,val_loss
0,0.5956891179084778,0.8393069505691528,0.785901665687561,0.4864515960216522
1,0.7987776398658752,0.4508224129676819,0.7931147813796997,0.447883665561676
2,0.8535504341125488,0.33829164505004883,0.8780328035354614,0.263025164604187
3,0.9121955633163452,0.2155439406633377,0.9583606719970703,0.12172582745552063
4,0.9438275694847107,0.14336688816547394,0.9708196520805359,0.09130888432264328
5,0.9669683575630188,0.08736822009086609,0.9737704992294312,0.08176619559526443
6,0.9748530387878418,0.07010552287101746,0.978360652923584,0.06842058897018433
7,0.9831575751304626,0.04732150584459305,0.9845901727676392,0.0463259294629097
8,0.9893160462379456,0.030190052464604378,0.9868852496147156,0.04170558601617813
9,0.986936628818512,0.03713854029774666,0.9895082116127014,0.042343415319919586
