epoch,accuracy,loss,val_accuracy,val_loss
0,0.5727815628051758,1.6747252941131592,0.42885246872901917,3.5806937217712402
1,0.720957338809967,0.6123312711715698,0.6577048897743225,0.7069066762924194
2,0.7677521705627441,0.5188558101654053,0.7744262218475342,0.4948980510234833
3,0.7825417518615723,0.4901563823223114,0.7901639342308044,0.4678448438644409
4,0.8006904721260071,0.45243173837661743,0.38655737042427063,3.366718053817749
5,0.8069888949394226,0.4320075809955597,0.6901639103889465,0.8861377835273743
6,0.8258841037750244,0.3976250886917114,0.687213122844696,1.7981044054031372
7,0.8434263467788696,0.36201852560043335,0.577049195766449,9.462480545043945
8,0.8633479475975037,0.32624125480651855,0.7754098176956177,0.8028490543365479
9,0.8804236054420471,0.2854604721069336,0.6426229476928711,1.1769912242889404
10,0.8940935134887695,0.2621847689151764,0.6455737948417664,1.556239128112793
11,0.9016515612602234,0.2342471033334732,0.8862295150756836,0.7978993654251099
12,0.9037044048309326,0.2381628155708313,0.7678688764572144,1.9133418798446655
13,0.9171876311302185,0.20410898327827454,0.7288524508476257,1.554244875907898
14,0.6689372062683105,2.2827091217041016,0.2950819730758667,16202457.0
15,0.6689372062683105,0.8511922955513,0.4977049231529236,125.6022720336914
16,0.711626410484314,0.6627759337425232,0.712131142616272,0.7494068741798401
17,0.7410656213760376,0.5932764410972595,0.7278688549995422,0.6441024541854858
18,0.7552019953727722,0.5607532858848572,0.7295082211494446,0.6176428198814392
19,0.7752169370651245,0.5160836577415466,0.7845901846885681,0.48386991024017334
20,0.7808621525764465,0.5041878819465637,0.8426229357719421,0.4050164222717285
21,0.7878137826919556,0.4894070327281952,0.8206557631492615,0.4238209128379822
22,0.7949985861778259,0.47358447313308716,0.7918033003807068,0.45013004541397095
23,0.8014369606971741,0.4592437446117401,0.7826229333877563,0.4621899425983429
24,0.8115610480308533,0.4435848593711853,0.8111475706100464,0.4132048785686493
25,0.8159933090209961,0.42841023206710815,0.8390163779258728,0.39531466364860535
26,0.8230381608009338,0.41273877024650574,0.8708196878433228,0.32233214378356934
27,0.829476535320282,0.39741769433021545,0.8711475133895874,0.32443976402282715
28,0.8368480205535889,0.3842891752719879,0.7586885094642639,0.6464385986328125
29,0.844219446182251,0.3732929527759552,0.8780328035354614,0.29888230562210083
